Jahr	Januar	Februar	März	April	Mai	Juni	Juli	August	September	Oktober	November	Dezember
1881	-5,36	0,02	2,77	5,54	11,81	15,08	18,60	15,90	12,06	4,99	5,67	0,92
1882	0,41	1,69	6,13	7,69	11,96	14,34	16,76	14,89	13,14	8,88	3,90	0,58
1883	-0,32	2,42	-1,47	6,04	12,38	16,23	16,66	15,90	13,36	8,53	4,32	0,84
1884	2,86	2,80	4,80	6,04	12,67	13,09	18,20	17,01	14,25	7,90	1,74	1,69
1885	-2,79	3,10	2,65	9,22	9,95	16,67	17,30	14,56	12,73	7,42	2,69	-0,27
1886	-1,25	-2,74	0,54	8,70	12,71	14,27	16,81	16,91	15,14	9,48	5,10	0,79
1887	-3,72	-0,72	1,23	7,08	10,02	15,45	18,71	15,70	12,17	5,49	3,05	-0,80
1888	-1,93	-2,44	0,80	5,67	12,08	15,79	14,66	15,05	12,52	6,42	3,26	0,59
1889	-2,43	-2,48	0,40	6,86	15,78	18,62	16,35	15,35	11,14	8,04	2,74	-1,55
1890	2,04	-2,45	4,22	6,80	13,60	13,87	15,44	16,51	13,10	7,19	2,90	-5,30
1891	-4,54	-0,56	2,68	5,06	12,65	14,73	16,21	14,98	13,82	9,92	2,67	1,69
1892	-1,76	0,63	0,63	7,00	12,18	15,10	15,99	18,07	13,77	7,45	3,01	-1,87
1893	-7,26	1,88	4,40	8,81	12,25	15,80	17,42	16,99	12,44	9,79	2,16	0,30
1894	-1,83	1,73	4,76	9,90	11,32	14,22	17,83	15,43	11,03	7,99	4,86	0,52
1895	-4,03	-6,68	1,44	8,54	12,23	15,72	17,24	16,49	15,20	7,07	4,81	-0,09
1896	-0,76	-0,11	5,37	5,89	10,70	16,68	17,02	14,28	12,75	8,57	1,22	-0,47
1897	-2,85	1,20	5,08	7,20	10,64	16,97	16,48	17,12	12,29	7,33	2,75	1,25
1898	2,29	1,22	2,96	7,27	11,29	14,81	14,36	17,99	13,58	8,85	4,65	3,02
1899	2,13	2,12	2,65	7,12	11,06	14,72	17,31	16,77	12,47	7,75	6,38	-3,26
1900	0,71	1,21	0,65	6,46	10,84	15,95	18,42	16,17	13,77	8,64	4,72	2,83
1901	-3,73	-4,02	2,23	8,02	12,82	15,61	18,46	16,38	13,39	9,09	2,73	0,94
1902	2,76	-1,13	3,51	7,83	8,61	15,30	15,82	14,71	12,03	7,07	1,62	-1,82
1903	0,34	3,75	5,82	4,65	12,61	14,84	16,24	15,42	13,51	9,64	4,44	-0,80
1904	-1,30	1,18	3,13	8,82	12,29	15,23	18,75	16,49	11,91	8,27	3,29	2,37
1905	-1,77	1,42	4,63	5,89	12,06	17,01	18,61	16,46	12,75	4,46	3,12	1,02
1906	1,03	0,45	2,34	7,95	13,08	14,71	17,19	16,49	12,50	9,84	6,26	-2,17
1907	-0,32	-1,42	2,74	6,09	12,89	14,60	14,46	15,67	13,11	11,18	3,34	1,51
1908	-2,20	1,33	2,45	5,37	13,19	17,01	17,18	14,48	12,07	8,06	1,51	-0,54
1909	-1,64	-2,34	1,61	7,78	10,91	14,06	15,03	16,22	12,70	10,21	2,01	1,86
1910	1,40	2,53	3,81	7,25	12,31	16,50	15,52	15,83	12,04	9,10	2,18	2,62
1911	-1,07	1,36	4,05	7,24	13,13	14,91	19,15	19,42	14,36	8,51	4,72	2,97
1912	-1,49	2,34	6,11	6,86	11,90	15,57	17,92	13,97	9,08	6,51	2,57	3,10
1913	-0,20	1,39	6,09	7,79	12,38	14,75	14,61	14,84	12,63	9,46	6,78	2,02
1914	-2,99	3,15	4,77	9,80	10,90	14,55	17,55	17,20	12,39	8,19	3,41	3,52
1915	0,20	1,05	1,83	6,85	13,09	17,51	16,18	15,22	11,84	6,38	1,52	3,48
1916	3,76	0,95	4,04	8,24	13,12	12,79	16,01	15,90	11,96	8,49	4,52	1,82
1917	-2,59	-3,63	0,11	4,32	15,00	18,76	17,32	16,66	14,50	7,24	5,06	-2,07
1918	0,69	1,77	4,13	9,00	13,98	12,98	16,50	15,90	12,92	7,88	2,97	3,86
1919	0,67	-0,35	3,08	5,54	11,56	14,99	14,36	16,09	14,74	6,01	0,52	0,77
1920	2,30	3,05	6,21	9,37	13,82	14,90	17,37	15,00	13,01	6,94	1,18	0,56
1921	4,20	1,34	5,72	7,77	13,98	14,40	18,71	17,25	13,45	10,99	-0,18	0,54
1922	-2,68	-1,18	3,54	5,54	13,56	15,65	15,68	15,36	11,22	5,02	2,53	2,21
1923	1,51	1,05	4,97	6,82	11,44	11,19	18,62	15,74	13,06	10,30	2,94	-1,65
1924	-2,89	-2,56	2,24	6,32	13,65	15,12	16,72	14,52	13,55	9,36	2,95	1,46
1925	2,49	3,72	1,39	8,14	13,88	14,96	17,86	16,52	11,00	8,47	1,99	-0,42
1926	-0,02	4,45	4,07	9,65	10,71	13,81	17,38	15,97	14,56	7,83	6,04	0,55
1927	1,77	0,93	5,91	7,10	10,92	14,08	17,28	16,42	13,51	8,55	2,66	-2,58
1928	1,57	2,56	2,99	7,48	10,07	14,09	18,35	16,19	12,46	8,64	6,17	-0,31
1929	-4,69	-9,51	2,63	4,45	13,08	14,48	17,51	17,10	15,49	9,68	4,73	3,55
1930	2,28	-0,13	4,20	8,28	11,64	18,21	16,35	15,95	13,17	8,73	5,92	0,57
1931	0,18	-1,09	0,19	5,79	15,10	16,06	16,84	15,42	10,18	7,29	4,65	0,08
1932	1,82	-1,81	0,86	6,98	12,52	14,61	17,92	18,73	14,98	8,50	4,19	0,82
1933	-2,60	0,19	5,15	7,04	11,47	14,32	18,08	16,93	13,54	8,83	2,54	-3,93
1934	0,45	1,25	4,16	10,35	13,34	16,35	18,29	16,40	15,60	9,60	4,07	4,81
1935	-0,76	1,95	2,83	7,32	10,49	17,22	17,78	16,62	13,66	8,58	5,17	0,39
1936	3,05	0,28	5,03	6,23	12,28	16,16	16,79	16,18	12,99	6,39	3,76	1,54
1937	-0,84	2,27	2,92	8,02	14,67	16,30	17,15	17,05	13,32	9,45	3,30	-0,48
1938	1,69	0,99	6,96	5,00	10,72	15,97	16,72	17,66	13,81	8,66	7,00	-1,92
1939	2,55	1,69	1,82	8,65	10,47	16,30	17,01	17,49	13,35	6,52	5,47	-1,56
1940	-9,00	-4,25	2,79	7,90	12,21	16,67	16,16	14,51	12,41	7,62	5,44	-2,81
1941	-5,37	-0,18	3,31	5,50	9,20	16,30	18,55	14,95	12,26	7,97	1,98	1,54
1942	-7,87	-5,29	1,47	7,49	12,08	14,39	16,06	17,61	15,11	11,12	3,30	2,07
1943	-0,40	2,98	5,68	9,27	12,78	14,36	17,68	17,91	13,75	9,86	2,71	0,18
1944	3,13	-1,00	1,03	8,59	11,55	14,16	17,39	19,64	12,82	8,63	4,13	-0,36
1945	-4,03	3,99	6,07	8,84	14,00	16,62	17,85	16,21	13,77	9,67	3,56	1,26
1946	-1,77	2,51	3,81	10,19	13,94	14,75	18,43	16,16	14,13	7,01	3,95	-2,32
1947	-4,70	-6,55	2,68	9,45	14,67	17,85	18,86	18,87	16,75	7,75	5,25	1,43
1948	3,10	0,54	5,74	10,00	13,57	15,59	16,17	16,41	13,83	8,72	4,22	0,88
1949	1,24	1,73	2,10	10,29	12,17	14,09	17,60	16,95	16,32	10,64	3,73	3,00
1950	-1,01	3,02	4,87	6,76	13,75	17,56	17,98	17,46	12,89	7,75	4,29	-1,98
1951	1,47	1,89	2,28	7,28	11,52	15,29	17,11	17,17	14,49	7,31	6,47	2,50
1952	0,20	-0,04	2,61	10,30	12,29	15,22	18,27	17,78	10,48	7,17	1,65	-0,53
1953	-0,79	-0,07	4,82	9,04	13,19	16,09	17,41	16,37	13,48	10,38	4,84	2,52
1954	-3,24	-3,51	4,36	5,84	12,17	15,98	14,40	15,75	13,48	9,89	4,05	3,24
1955	-1,70	-1,89	0,49	6,93	10,25	14,55	17,35	16,80	13,37	7,98	3,83	2,59
1956	0,23	-9,59	2,96	5,30	12,49	13,21	16,86	14,12	13,76	8,23	2,51	2,01
1957	0,28	3,83	6,39	7,46	9,70	16,72	17,69	15,05	11,76	9,15	4,51	0,52
1958	-0,39	1,89	-0,30	5,21	13,34	14,51	16,95	16,91	14,48	9,30	4,25	2,45
1959	-0,07	-0,04	6,24	9,40	12,66	16,12	19,28	17,34	13,49	8,45	3,30	2,17
1960	-0,09	0,38	4,28	7,41	12,79	16,23	15,41	15,77	12,46	9,06	6,00	1,15
1961	-0,77	4,42	6,06	10,56	10,29	16,00	15,14	15,74	16,30	10,50	3,73	-0,62
1962	1,67	0,34	0,24	8,19	9,75	14,20	15,01	15,80	12,34	8,95	2,66	-3,34
1963	-7,39	-5,73	2,46	8,41	11,96	15,83	17,70	15,94	13,70	8,13	7,38	-3,13
1964	-2,56	0,56	0,59	8,63	13,56	16,92	18,05	15,87	13,55	7,07	4,94	0,42
1965	1,22	-1,74	2,30	6,67	11,16	15,52	14,99	14,85	12,65	8,15	1,35	2,64
1966	-2,66	3,53	3,29	8,60	12,96	16,86	15,55	15,54	13,18	11,07	2,22	1,97
1967	0,72	2,78	5,41	6,48	12,51	14,70	18,62	16,37	13,75	11,14	3,85	0,36
1968	-1,08	0,69	4,40	8,99	10,90	16,00	16,19	16,36	13,43	10,17	3,72	-2,01
1969	0,45	-2,11	0,87	6,99	12,92	14,82	18,44	16,52	13,77	9,99	5,09	-4,69
1970	-2,56	-1,14	1,16	5,33	11,41	17,16	16,12	16,76	13,17	8,93	5,76	0,46
1971	-1,07	1,36	0,96	8,20	13,95	13,90	18,01	17,84	12,04	8,84	3,53	3,56
1972	-2,34	1,94	5,28	7,22	11,30	14,45	17,69	15,74	10,68	6,75	4,26	0,79
1973	0,04	1,03	3,91	5,14	12,50	16,14	17,21	17,70	14,12	7,30	3,31	0,15
1974	3,31	3,16	5,65	7,94	10,97	14,08	15,29	17,11	13,19	5,50	4,85	4,81
1975	4,50	1,34	3,59	6,77	11,79	14,74	18,19	18,84	15,48	7,54	3,07	1,23
1976	1,16	0,44	1,33	6,92	12,84	17,37	19,33	16,19	12,70	9,48	4,82	-1,04
1977	0,40	3,03	6,13	5,65	11,68	15,47	16,48	15,91	11,87	10,15	5,11	2,11
1978	0,75	-1,39	4,84	6,52	11,57	14,76	15,50	15,12	12,19	9,10	4,18	0,28
1979	-4,50	-1,80	3,66	6,34	12,35	16,53	15,33	15,46	13,07	8,64	3,67	3,82
1980	-2,66	2,13	3,31	6,02	10,71	14,69	15,08	16,64	13,91	7,97	3,03	0,67
1981	-1,51	-0,41	6,79	7,79	13,17	15,28	16,35	16,40	13,97	8,11	4,57	-2,21
1982	-2,28	-0,12	4,17	6,50	12,44	16,27	18,91	17,28	15,68	9,65	5,99	2,23
1983	3,97	-1,68	4,55	8,57	11,33	16,26	20,38	18,13	13,71	9,17	3,46	0,67
1984	1,07	-0,32	1,99	6,77	10,83	13,74	15,87	17,02	12,30	10,23	4,93	1,19
1985	-5,51	-3,09	2,82	7,62	13,35	13,52	17,35	16,21	13,46	8,79	0,84	3,65
1986	0,09	-6,43	3,01	6,27	14,14	15,89	17,03	16,27	11,31	9,61	5,85	2,05
1987	-5,91	-0,32	-0,46	9,06	9,69	13,89	16,92	15,50	14,51	9,36	4,90	2,14
1988	3,50	2,07	2,71	7,97	14,21	15,02	17,02	16,97	13,21	9,68	3,00	3,38
1989	2,45	3,35	6,97	7,15	13,78	15,32	17,73	16,98	14,44	10,38	2,69	2,42
1990	2,53	5,75	6,91	7,39	13,89	15,18	16,67	18,30	11,80	10,18	4,47	0,77
1991	1,49	-2,42	6,43	7,05	9,54	13,50	19,16	17,91	14,75	8,16	3,95	0,68
